Time,Wind_power/MW
03/20/2021 06:05,862
03/20/2021 06:10,864
03/20/2021 06:15,875
03/20/2021 06:20,884
03/20/2021 06:25,894
03/20/2021 06:30,918
03/20/2021 06:35,962
03/20/2021 06:40,967
03/20/2021 06:45,954
03/20/2021 06:50,929
03/20/2021 06:55,930
03/20/2021 07:00,918
03/20/2021 07:05,938
03/20/2021 07:10,922
03/20/2021 07:15,906
03/20/2021 07:20,901
03/20/2021 07:25,932
03/20/2021 07:30,945
03/20/2021 07:35,965
03/20/2021 07:40,993
03/20/2021 07:45,1011
03/20/2021 07:50,1030
03/20/2021 07:55,1050
03/20/2021 08:00,1047
03/20/2021 08:05,1051
03/20/2021 08:10,1049
03/20/2021 08:15,1041
03/20/2021 08:20,1049
03/20/2021 08:25,1049
03/20/2021 08:30,1057
03/20/2021 08:35,1016
03/20/2021 08:40,1007
03/20/2021 08:45,1002
03/20/2021 08:50,994
03/20/2021 08:55,982
03/20/2021 09:00,983
03/20/2021 09:05,975
03/20/2021 09:10,983
03/20/2021 09:15,977
03/20/2021 09:20,967
03/20/2021 09:25,968
03/20/2021 09:30,973
03/20/2021 09:35,1003
03/20/2021 09:40,1077
03/20/2021 09:45,1149
03/20/2021 09:50,1193
03/20/2021 09:55,1225
03/20/2021 10:00,1257
03/20/2021 10:05,1307
03/20/2021 10:10,1345
03/20/2021 10:15,1378
03/20/2021 10:20,1392
03/20/2021 10:25,1417
03/20/2021 10:30,1437
03/20/2021 10:35,1490
03/20/2021 10:40,1532
03/20/2021 10:45,1565
03/20/2021 10:50,1590
03/20/2021 10:55,1664
03/20/2021 11:00,1713
03/20/2021 11:05,1731
03/20/2021 11:10,1792
03/20/2021 11:15,1823
03/20/2021 11:20,1824
03/20/2021 11:25,1872
03/20/2021 11:30,1851
03/20/2021 11:35,1862
03/20/2021 11:40,1823
03/20/2021 11:45,1802
03/20/2021 11:50,1743
03/20/2021 11:55,1716
03/20/2021 12:00,1721
03/20/2021 12:05,1782
03/20/2021 12:10,1797
03/20/2021 12:15,1820
03/20/2021 12:20,1842
03/20/2021 12:25,1860
03/20/2021 12:30,1851
03/20/2021 12:35,1902
03/20/2021 12:40,1961
03/20/2021 12:45,2046
03/20/2021 12:50,2140
03/20/2021 12:55,2186
03/20/2021 13:00,2278
03/20/2021 13:05,2257
03/20/2021 13:10,2365
03/20/2021 13:15,2444
03/20/2021 13:20,2463
03/20/2021 13:25,2497
03/20/2021 13:30,2527
03/20/2021 13:35,2496
03/20/2021 13:40,2472
03/20/2021 13:45,2482
03/20/2021 13:50,2493
03/20/2021 13:55,2506
03/20/2021 14:00,2506
03/20/2021 14:05,2477
03/20/2021 14:10,2487
03/20/2021 14:15,2528
03/20/2021 14:20,2514
03/20/2021 14:25,2543
03/20/2021 14:30,2580
03/20/2021 14:35,2338
03/20/2021 14:40,2340
03/20/2021 14:45,2343
03/20/2021 14:50,2348
03/20/2021 14:55,2373
03/20/2021 15:00,2366
03/20/2021 15:05,2299
03/20/2021 15:10,2101
03/20/2021 15:15,2112
03/20/2021 15:20,2119
03/20/2021 15:25,2118
03/20/2021 15:30,2127
03/20/2021 15:35,2098
03/20/2021 15:40,2127
03/20/2021 15:45,1831
03/20/2021 15:50,1830
03/20/2021 15:55,1845
03/20/2021 16:00,1858
03/20/2021 16:05,1929
03/20/2021 16:10,2070
03/20/2021 16:15,2141
03/20/2021 16:20,2240
03/20/2021 16:25,2235
03/20/2021 16:30,2226
03/20/2021 16:35,2338
03/20/2021 16:40,2381
03/20/2021 16:45,2316
03/20/2021 16:50,2331
03/20/2021 16:55,2396
03/20/2021 17:00,2434
03/20/2021 17:05,2508
03/20/2021 17:10,2543
03/20/2021 17:15,2527
03/20/2021 17:20,2520
03/20/2021 17:25,2516
03/20/2021 17:30,2524
03/20/2021 17:35,2506
03/20/2021 17:40,2470
03/20/2021 17:45,2454
03/20/2021 17:50,2491
03/20/2021 17:55,2535
03/20/2021 18:00,2600
03/20/2021 18:05,2584
03/20/2021 18:10,2561
03/20/2021 18:15,2596
03/20/2021 18:20,2628
03/20/2021 18:25,2633
03/20/2021 18:30,2622
03/20/2021 18:35,2622
03/20/2021 18:40,2616
03/20/2021 18:45,2619
03/20/2021 18:50,2596
03/20/2021 18:55,2560
03/20/2021 19:00,2521
03/20/2021 19:05,2514
03/20/2021 19:10,2535
03/20/2021 19:15,2552
03/20/2021 19:20,2560
03/20/2021 19:25,2553
03/20/2021 19:30,2535
03/20/2021 19:35,2521
03/20/2021 19:40,2460
03/20/2021 19:45,2471
03/20/2021 19:50,2484
03/20/2021 19:55,2483
03/20/2021 20:00,2480
03/20/2021 20:05,2470
03/20/2021 20:10,2451
03/20/2021 20:15,2423
03/20/2021 20:20,2412
03/20/2021 20:25,2432
03/20/2021 20:30,2475
03/20/2021 20:35,2531
03/20/2021 20:40,2543
03/20/2021 20:45,2554
03/20/2021 20:50,2551
03/20/2021 20:55,2570
03/20/2021 21:00,2579
03/20/2021 21:05,2636
03/20/2021 21:10,2639
03/20/2021 21:15,2658
03/20/2021 21:20,2678
03/20/2021 21:25,2671
03/20/2021 21:30,2667
03/20/2021 21:35,2659
03/20/2021 21:40,2670
03/20/2021 21:45,2671
03/20/2021 21:50,2676
03/20/2021 21:55,2691
03/20/2021 22:00,2689
03/20/2021 22:05,2697
03/20/2021 22:10,2692
03/20/2021 22:15,2691
03/20/2021 22:20,2691
03/20/2021 22:25,2676
03/20/2021 22:30,2665
03/20/2021 22:35,2654
03/20/2021 22:40,2650
03/20/2021 22:45,2665
03/20/2021 22:50,2672
03/20/2021 22:55,2683
03/20/2021 23:00,2687
03/20/2021 23:05,2684
03/20/2021 23:10,2698
03/20/2021 23:15,2711
03/20/2021 23:20,2706
03/20/2021 23:25,2706
03/20/2021 23:30,2694
03/20/2021 23:35,2690
03/20/2021 23:40,2679
03/20/2021 23:45,2678
03/20/2021 23:50,2673
